lat,lng,sum,adult,animal,children,baby,elderly
-30.14314,-51.3286598,8,8,0,0,0,0
-30.1343314,-51.3661674,2,0,2,0,0,0
-30.1201506,-51.3171752,1,1,0,0,0,0
-30.1118014,-51.3443868,4,4,0,0,0,0
-30.1079519,-51.3196503,1,1,0,0,0,0
-30.1078743,-51.2528411,1,1,0,0,0,0
-30.1051687,-51.3172866,1,1,0,0,0,0
-30.1022199,-51.2315195,0,0,0,0,0,0
-30.0939712,-51.3407392,1,1,0,0,0,0
-30.0935193,-51.335595,2,0,2,0,0,0
-30.0935106,-51.3195168,5,2,3,0,0,0
-30.0914723,-51.333366,1,1,0,0,0,0
-30.0910044,-51.3224191,16,11,4,0,0,0
-30.090656,-51.236543,2,0,2,0,0,0
-30.0902765,-51.3222359,4,1,3,0,0,0
-30.0899617,-51.3355207,3,1,1,0,0,1
-30.0898809,-51.3368069,5,3,2,0,0,0
-30.0895942,-51.323083,2,2,0,0,0,0
-30.0893678,-51.3213518,15,1,14,0,0,0
-30.0882895,-51.3206218,26,4,22,0,0,0
-30.0814077,-51.2201133,2,1,1,0,0,0
-30.0811734,-51.242904,3,2,1,0,0,0
-30.0806328,-51.2153259,1,1,0,0,0,0
-30.0698443,-51.1978321,16,10,4,0,1,1
-30.0684012,-51.2368149,200,100,0,0,0,100
-30.066692,-51.235086,2,2,0,0,0,0
-30.0617206,-51.2302752,4,4,0,0,0,0
-30.0613541,-51.2304764,1,0,1,0,0,0
-30.059289,-51.230057,3,3,0,0,0,0
-30.0583746,-51.2276645,4,3,1,0,0,0
-30.0580118,-51.2276253,4,2,1,0,0,1
-30.0569739,-51.2276349,2,2,0,0,0,1
-30.0560893,-51.1891994,1,1,0,0,0,0
-30.0560571,-51.2298494,4,4,0,0,0,0
-30.055794,-51.226579,2,1,0,0,0,0
-30.0557251,-51.2063053,1,0,1,0,0,0
-30.0555003,-51.2299516,2,0,0,0,0,2
-30.054019,-51.228418,2,1,0,0,0,1
-30.0532529,-51.2283696,3,2,0,0,0,1
-30.0529474,-51.2278128,4,2,2,0,0,0
-30.0527046,-51.227639,2,1,0,0,0,1
-30.0526458,-51.2273317,3,1,2,0,0,0
-30.0520695,-51.2261083,3,1,1,0,0,0
-30.0517258,-51.2270691,4,3,1,0,0,0
-30.0514977,-51.3162899,40,40,0,0,0,0
-30.0513557,-51.226006,1,0,0,0,0,1
-30.0512355,-51.2280243,2,2,0,0,0,0
-30.0500072,-51.2215736,3,1,0,0,0,2
-30.0498634,-51.311676,40,40,0,0,0,0
-30.0487369,-51.2261775,1,1,0,0,0,0
-30.0486031,-51.1333033,2,0,0,0,0,2
-30.0481052,-51.3149307,30,10,20,0,0,0
-30.047951,-51.3138712,8,2,4,0,0,2
-30.0478135,-51.3723452,28,28,0,0,0,0
-30.0477646,-51.3139027,1,0,1,0,0,0
-30.0476746,-51.3153708,35,20,15,0,0,0
-30.047625,-51.314326,10,9,1,0,0,0
-30.0475445,-51.3124334,2,2,0,0,0,0
-30.0475249,-51.31403,1,1,0,0,0,0
-30.0473048,-51.3139732,1,1,0,0,0,0
-30.0470899,-51.2204512,0,0,0,0,0,0
-30.0470733,-51.3103045,5,3,2,0,0,0
-30.0469885,-51.3109487,10,5,0,0,0,5
-30.046902,-51.3147977,1,0,0,0,0,1
-30.0468965,-51.3146441,1,0,0,0,0,1
-30.0468284,-51.3129433,23,20,0,0,0,3
-30.0467671,-51.3099532,7,7,0,0,0,0
-30.04666,-51.22144,3,1,2,0,0,0
-30.0466469,-51.3087699,5,3,2,0,0,0
-30.0464044,-51.308708,1,0,1,0,0,0
-30.0463397,-51.314941,16,3,12,0,0,1
-30.0462624,-51.3097314,12,6,5,0,0,1
-30.0462614,-51.3114918,6,2,3,0,0,1
-30.0462201,-51.3140595,16,0,16,0,0,0
-30.0461952,-51.2243084,1,1,0,0,0,0
-30.046186,-51.3111642,4,4,0,0,0,0
-30.0461069,-51.1481046,1,1,0,0,0,0
-30.0460901,-51.2243445,4,1,2,0,0,1
-30.04605,-51.3132517,2,0,0,0,0,2
-30.0459959,-51.3122696,12,11,1,0,0,0
-30.0459631,-51.3120649,4,4,0,0,0,0
-30.0459558,-51.3089392,9,6,2,0,0,1
-30.0459443,-51.3047153,1,0,0,0,0,1
-30.0456855,-51.3121468,8,5,4,0,0,0
-30.0456554,-51.3106997,10,9,0,0,0,1
-30.0455391,-51.3130475,7,1,6,0,0,0
-30.0455155,-51.3105711,58,30,28,0,0,0
-30.0454901,-51.3104403,0,0,0,0,0,0
-30.0452612,-51.3126299,4,2,1,0,0,1
-30.0452177,-51.3119012,4,2,0,0,1,1
-30.0452047,-51.3140403,10,8,2,0,0,0
-30.045203,-51.3133174,1,1,0,0,0,0
-30.0450986,-51.2233729,3,1,0,0,0,2
-30.0450866,-51.2214475,8,2,6,0,0,0
-30.0450801,-51.2297499,4,2,0,0,0,2
-30.0449839,-51.3132112,5,4,0,0,0,1
-30.0448563,-51.229978,5,3,0,0,0,2
-30.0448553,-51.310485,46,40,0,0,1,5
-30.0447892,-51.3098952,7,4,3,0,0,1
-30.0447547,-51.310687,24,23,1,0,0,0
-30.0446953,-51.2231924,7,4,4,0,0,0
-30.0446533,-51.3038635,6,1,5,0,0,0
-30.0446193,-51.3110312,3,3,0,0,0,0
-30.0445889,-51.3121793,20,12,8,0,0,0
-30.0445239,-51.3153041,50,50,0,0,0,0
-30.0445008,-51.3118193,18,8,9,0,0,1
-30.0443482,-51.2242476,11,1,10,0,0,0
-30.0443387,-51.3109487,90,60,30,0,0,0
-30.0443387,-51.309166,5,5,0,0,0,0
-30.0443364,-51.2282473,20,10,7,0,0,3
-30.0441863,-51.3091483,2,0,2,0,0,0
-30.0441086,-51.3117311,20,11,9,0,0,0
-30.0440883,-51.3141508,10,8,0,0,1,1
-30.0440722,-51.2261743,4,2,2,0,0,0
-30.043951,-51.3058733,5,4,0,0,0,1
-30.0439192,-51.2254519,1,1,0,0,0,0
-30.0437533,-51.2296127,3,2,1,0,0,0
-30.0437232,-51.3120134,8,4,2,0,0,2
-30.0437172,-51.3116555,9,9,0,0,0,0
-30.0436623,-51.3219423,7,5,2,0,0,0
-30.0435897,-51.2299925,3,2,1,0,0,0
-30.0433501,-51.2245268,8,4,0,0,0,4
-30.0433363,-51.2277513,2,2,0,0,0,0
-30.043308,-51.2229214,1,1,0,0,0,0
-30.0432648,-51.3139891,10,10,0,0,0,0
-30.0432287,-51.3119012,18,14,0,0,0,4
-30.0431418,-51.3153708,7,4,3,0,0,0
-30.043123,-51.3028725,4,2,1,0,0,1
-30.0430396,-51.3112461,30,30,0,0,0,0
-30.0430237,-51.3155481,15,15,0,0,0,0
-30.0430003,-51.3130065,0,0,0,0,0,0
-30.04295,-51.3108777,8,8,0,0,0,0
-30.0429369,-51.3126585,8,6,1,0,0,1
-30.0429304,-51.3124743,2,1,0,0,0,1
-30.0429219,-51.2225991,3,3,0,0,0,0
-30.0429118,-51.3123105,1,1,0,0,0,0
-30.0428549,-51.3163222,72,72,0,0,0,0
-30.0428511,-51.3143678,15,12,1,0,0,1
-30.0428385,-51.311328,56,30,11,0,3,12
-30.0428058,-51.2227895,7,2,5,0,0,0
-30.0427948,-51.3100999,16,9,5,0,1,1
-30.0427611,-51.314204,2,2,0,0,0,0
-30.0427542,-51.3078892,4,4,0,0,0,0
-30.0427268,-51.302584,3,3,0,0,0,0
-30.0426738,-51.3217715,1,1,0,0,0,0
-30.0426525,-51.3068249,3,2,1,0,0,0
-30.0424437,-51.3096167,23,10,12,0,0,1
-30.0423947,-51.3081758,10,6,3,0,0,1
-30.0423797,-51.222674,5,5,0,0,0,0
-30.0423663,-51.3088103,17,15,0,0,0,1
-30.0422067,-51.309494,4,2,0,0,0,2
-30.0421802,-51.3182958,6,6,0,0,0,0
-30.0420931,-51.3168959,2,2,0,0,0,0
-30.0420632,-51.3134581,2,2,0,0,0,0
-30.0420452,-51.3130026,4,2,0,0,0,2
-30.0419314,-51.3080427,4,4,0,0,0,0
-30.0419054,-51.3175878,2,2,0,0,0,0
-30.0418958,-51.3107805,2,2,0,0,0,0
-30.041891,-51.3155141,2,1,1,0,0,1
-30.041849,-51.3114212,12,10,0,0,2,0
-30.0418187,-51.3148854,4,2,1,0,0,1
-30.041798,-51.3179195,1,1,0,0,0,0
-30.0417107,-51.2249435,3,1,2,0,0,0
-30.0417032,-51.312815,9,8,1,0,0,0
-30.0414938,-51.3116685,12,12,0,0,0,0
-30.0414351,-51.3062927,1,0,0,0,0,1
-30.0414265,-51.3160771,1,1,0,0,0,0
-30.0413564,-51.3108375,12,12,0,0,0,0
-30.0413129,-51.3094963,5,4,0,0,0,1
-30.0412981,-51.3145826,8,7,0,0,0,0
-30.0412835,-51.3125882,3,1,2,0,0,0
-30.0410588,-51.3141631,4,3,0,0,0,2
-30.041027,-51.2235625,2,1,0,0,0,0
-30.0409919,-51.2253161,4,2,2,0,0,0
-30.0409443,-51.2250555,2,2,0,0,0,0
-30.0409231,-51.3147109,2,2,0,0,0,0
-30.040773,-51.3120444,6,2,4,0,0,0
-30.0407637,-51.3122757,10,10,0,0,0,0
-30.0406639,-51.3119696,5,3,0,0,0,2
-30.0402022,-51.3122522,5,4,0,0,0,1
-30.0401429,-51.2255133,3,2,0,0,0,1
-30.0401041,-51.3067832,2,2,0,0,0,0
-30.0397636,-51.1639772,5,5,0,0,0,0
-30.0397173,-51.3119685,7,5,2,0,0,0
-30.0394607,-51.3025954,2,2,0,0,0,0
-30.0392709,-51.3110518,4,2,2,0,0,0
-30.0391508,-51.303018,4,1,3,0,0,0
-30.0389576,-51.3114897,8,8,0,0,0,0
-30.0379602,-51.2073097,4,2,0,0,0,2
-30.0376246,-51.3287188,1,1,0,0,0,0
-30.0374225,-51.2002838,0,0,0,0,0,0
-30.0374169,-51.223865,3,3,0,0,0,0
-30.0368176,-51.2089887,20,2,18,0,0,0
